Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Pedestrian_movement,Cause_of_accident,Accident_severity,Hour,Minutes
Wednesday,18-30,Male,Elementary school,Above 10yr,Long lorry,Owner,2-5yrs,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Getting off,Driver or rider,Male,18-30,2,Not a Pedestrian,Changing lane to the left,Slight Injury,12,55
Wednesday,31-50,Male,Junior high school,Above 10yr,Turbo,Owner,2-5yrs,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,12,55
Tuesday,Unknown,Male,Junior high school,Below 1yr,Long lorry,Owner,2-5yrs,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Driving carelessly,Serious Injury,0,36
Tuesday,31-50,Male,Elementary school,5-10yr,Long lorry,Owner,5-10yrs,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,1,Going straight,na,na,na,na,Not a Pedestrian,No priority to pedestrian,Serious Injury,0,36
Tuesday,18-30,Male,Junior high school,2-5yr,Public (13?45 seats),Owner,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,1,Reversing,Pedestrian,Female,31-50,3,Not a Pedestrian,Getting off the vehicle improperly,Serious Injury,0,36
Sunday,Unknown,Female,Junior high school,Above 10yr,Automobile,Owner,Unknown,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Flood over 3cm. deep,Daylight,Raining,Vehicle with vehicle collision,2,1,Turnover,Driver or rider,Male,31-50,2,Not a Pedestrian,No distancing,Slight Injury,15,42
Sunday,18-30,Male,Junior high school,Below 1yr,Automobile,Owner,Unknown,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Flood over 3cm. deep,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,18-30,3,Not a Pedestrian,Changing lane to the left,Slight Injury,15,42
Sunday,18-30,Male,Junior high school,2-5yr,Pick up upto 10Q,Owner,Unknown,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,2,Going straight,na,na,na,na,Not a Pedestrian,No priority to vehicle,Serious Injury,1,15
Sunday,18-30,Male,Junior high school,Above 10yr,Automobile,Owner,2-5yrs,  Recreational areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,2,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,No distancing,Serious Injury,1,15
Sunday,18-30,Male,Writing & reading,2-5yr,Stationwagen,Owner,Unknown,Other,other,Tangent road with flat terrain,No junction,Dry,Darkness - no lighting,Normal,Collision with roadside objects,2,1,Going straight,na,na,na,na,Not a Pedestrian,No priority to pedestrian,Slight Injury,1,25
Sunday,31-50,Male,Junior high school,2-5yr,Automobile,Owner,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Darkness - no lighting,Normal,Collision with roadside objects,2,1,Getting off,Driver or rider,Male,31-50,3,Not a Pedestrian,No priority to pedestrian,Slight Injury,1,25
Sunday,Under 18,Male,High school,2-5yr,Automobile,Owner,Unknown,Other,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Darkness - no lighting,Normal,Collision with roadside objects,2,1,Going straight,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,21,0
Sunday,Under 18,Male,Junior high school,1-2yr,Automobile,Owner,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Darkness - no lighting,Normal,Collision with pedestrians,2,1,Going straight,Driver or rider,Male,Under 18,3,Not a Pedestrian,Driving carelessly,Slight Injury,21,0
Wednesday,18-30,Male,High school,5-10yr,Long lorry,Owner,Unknown,Office areas,One way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,16,50
Wednesday,31-50,Male,Elementary school,2-5yr,Public (13?45 seats),Owner,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,31-50,2,Not a Pedestrian,Changing lane to the left,Slight Injury,16,50
Wednesday,31-50,Male,Junior high school,1-2yr,Public (13?45 seats),Owner,Unknown,Other,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Collision with pedestrians,2,2,Going straight,Pedestrian,Male,18-30,3,Unknown or other,Moving Backward,Slight Injury,16,50
Tuesday,18-30,Male,Elementary school,1-2yr,Lorry (11?40Q),Governmental,Unknown,Other,Double carriageway (median),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,18-30,3,Not a Pedestrian,Driving carelessly,Slight Injury,14,40
Tuesday,18-30,Male,High school,No Licence,Lorry (11?40Q),Owner,Unknown,Office areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Driving to the left,Slight Injury,14,40
Friday,Unknown,Female,Junior high school,5-10yr,Pick up upto 10Q,Owner,Unknown,Residential areas,other,Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Unknown,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Driving to the left,Slight Injury,2,0
Friday,Under 18,Male,Junior high school,1-2yr,Automobile,Governmental,2-5yrs,  Recreational areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Unknown,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,18-30,3,Unknown or other,No priority to pedestrian,Slight Injury,2,0
Saturday,31-50,Male,Junior high school,2-5yr,Automobile,Owner,1-2yr,Other,other,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the left,Serious Injury,18,10
Saturday,Unknown,Male,Junior high school,5-10yr,Automobile,Owner,Above 10yr,Residential areas,other,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,Driver or rider,Male,18-30,2,Not a Pedestrian,Changing lane to the right,Serious Injury,18,10
Wednesday,31-50,Male,Junior high school,5-10yr,Long lorry,Owner,Unknown,Other,other,Tangent road with flat terrain,Other,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Pedestrian,Male,18-30,3,Not a Pedestrian,Driving carelessly,Slight Injury,19,15
Wednesday,Unknown,Male,Junior high school,5-10yr,Long lorry,Owner,Unknown,Other,other,Tangent road with flat terrain,Other,Dry,Daylight,Normal,Collision with pedestrians,2,1,Turnover,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,19,15
Wednesday,31-50,Male,Junior high school,2-5yr,Automobile,Owner,5-10yrs,Other,One way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury,6,28
Wednesday,31-50,Male,Junior high school,Above 10yr,Stationwagen,Owner,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Driving under the influence of drugs,Slight Injury,6,28
Monday,18-30,Male,Junior high school,Above 10yr,Automobile,Owner,2-5yrs,Other,other,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Collision with roadside objects,2,2,Going straight,Driver or rider,Female,31-50,3,Not a Pedestrian,Changing lane to the right,Slight Injury,13,15
Monday,18-30,Male,Junior high school,5-10yr,Other,Owner,Unknown,School areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,13,15
Monday,18-30,Male,Elementary school,Above 10yr,Special vehicle,Owner,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Reversing,Pedestrian,Male,Over 51,3,Not a Pedestrian,Moving Backward,Slight Injury,13,15
Monday,Over 51,Male,Junior high school,5-10yr,Lorry (41?100Q),Owner,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Turnover,Slight Injury,14,30
Monday,Over 51,Male,Junior high school,5-10yr,Pick up upto 10Q,Owner,5-10yrs,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Turnover,Driver or rider,Female,Under 18,3,Not a Pedestrian,Changing lane to the right,Slight Injury,14,30
Wednesday,31-50,Male,Junior high school,Above 10yr,Lorry (11?40Q),Owner,Unknown,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Driving carelessly,Serious Injury,20,20
Wednesday,31-50,Male,High school,Above 10yr,Lorry (41?100Q),Governmental,Unknown,School areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,No priority to vehicle,Serious Injury,20,20
Tuesday,31-50,Male,Junior high school,5-10yr,Motorcycle,Owner,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Unknown,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Moving Backward,Slight Injury,6,15
Tuesday,31-50,Male,Elementary school,5-10yr,Automobile,Owner,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Unknown,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the left,Slight Injury,6,15
Saturday,Over 51,Male,Elementary school,Above 10yr,Automobile,Governmental,Above 10yr,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,na,na,na,na,Not a Pedestrian,Overturning,Slight Injury,14,45
Saturday,31-50,Male,Junior high school,Below 1yr,Automobile,Owner,1-2yr,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Collision with roadside objects,2,1,Getting off,Driver or rider,Female,18-30,3,Not a Pedestrian,No distancing,Slight Injury,14,45
Saturday,18-30,Male,Junior high school,2-5yr,Stationwagen,Owner,Above 10yr,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Collision with roadside objects,1,1,Moving Backward,Pedestrian,Female,Over 51,2,Unknown or other,Driving carelessly,Fatal injury,12,10
Tuesday,18-30,Male,Junior high school,2-5yr,Automobile,Owner,Below 1yr,Other,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,18,10
Tuesday,Unknown,Male,High school,5-10yr,Public (> 45 seats),Owner,Above 10yr,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Collision with pedestrians,2,1,Turnover,na,na,na,na,Not a Pedestrian,Changing lane to the left,Slight Injury,18,10
Monday,18-30,Male,Junior high school,5-10yr,Public (> 45 seats),Owner,Unknown,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,No priority to pedestrian,Slight Injury,6,51
Monday,31-50,Male,Junior high school,Below 1yr,Stationwagen,Governmental,1-2yr,Other,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Pedestrian,Female,Over 51,3,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing,Slight Injury,6,51
Wednesday,Unknown,Male,Elementary school,Above 10yr,Automobile,Owner,1-2yr,Other,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Pedestrian,Female,31-50,3,Not a Pedestrian,No distancing,Slight Injury,14,30
Wednesday,Over 51,Male,Elementary school,Below 1yr,Bicycle,Owner,Unknown, Industrial areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Collision with pedestrians,2,2,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Changing lane to the left,Slight Injury,14,30
Wednesday,Over 51,Male,Junior high school,5-10yr,Automobile,Owner,Unknown,  Recreational areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,14,30
Saturday,Unknown,Female,Junior high school,5-10yr,Lorry (41?100Q),Owner,Above 10yr, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,18-30,3,Not a Pedestrian,Changing lane to the left,Slight Injury,15,40
Saturday,18-30,Male,Junior high school,5-10yr,Automobile,Owner,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Turnover,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,15,40
Wednesday,18-30,Male,Junior high school,1-2yr,Public (13?45 seats),Owner,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Turnover,Driver or rider,Male,18-30,3,Not a Pedestrian,No distancing,Slight Injury,16,17
Wednesday,31-50,Male,High school,5-10yr,Special vehicle,Owner,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,18-30,3,Not a Pedestrian,No distancing,Slight Injury,16,17
Thursday,31-50,Male,Junior high school,5-10yr,Automobile,Owner,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Getting off,Passenger,Female,Over 51,3,Not a Pedestrian,Changing lane to the left,Slight Injury,18,16
Thursday,31-50,Male,Junior high school,5-10yr,Public (13?45 seats),Owner,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Getting off,Passenger,Female,Over 51,3,Not a Pedestrian,Changing lane to the right,Slight Injury,18,16
Thursday,18-30,Male,Junior high school,5-10yr,Automobile,Owner,Above 10yr,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Pedestrian,Male,18-30,3,Unknown or other,Moving Backward,Slight Injury,12,5
Thursday,31-50,Male,Junior high school,Above 10yr,Lorry (41?100Q),Owner,Above 10yr,Office areas,other,Tangent road with mountainous terrain and,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Overtaking,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,12,5
Saturday,Over 51,Male,Junior high school,5-10yr,Lorry (41?100Q),Owner,Above 10yr,Residential areas,other,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Reversing,Pedestrian,Female,31-50,3,Not a Pedestrian,No distancing,Slight Injury,12,15
Saturday,31-50,Male,Junior high school,No Licence,Public (12 seats),Owner,Unknown,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Not a Pedestrian,Overtaking,Slight Injury,12,15
Saturday,31-50,Male,Above high school,Below 1yr,Lorry (41?100Q),Owner,Above 10yr,Office areas,Two-way (divided with broken lines road marking),Sharp reverse curve,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Getting off,Driver or rider,Male,31-50,3,Not a Pedestrian,Other,Slight Injury,12,15
Thursday,18-30,Male,Elementary school,5-10yr,Lorry (41?100Q),Owner,5-10yrs,Other,other,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Rollover,1,1,Getting off,na,na,na,na,Not a Pedestrian,Other,Slight Injury,7,21
Friday,31-50,Male,Elementary school,5-10yr,Public (12 seats),Owner,Above 10yr,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Collision with roadside objects,2,1,Reversing,Driver or rider,Male,31-50,3,Not a Pedestrian,Changing lane to the right,Slight Injury,17,51
Friday,31-50,Male,Junior high school,5-10yr,Public (> 45 seats),Owner,Above 10yr, Church areas,other,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Turnover,Driver or rider,Male,18-30,2,Not a Pedestrian,No priority to pedestrian,Slight Injury,17,51
Saturday,31-50,Male,High school,5-10yr,Automobile,Owner,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,11,37
Saturday,31-50,Male,Junior high school,5-10yr,Pick up upto 10Q,Owner,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Changing lane to the left,Slight Injury,11,37
Saturday,Over 51,Male,Junior high school,2-5yr,Stationwagen,Owner,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Crossing,Dry,Darkness - lights lit,Normal,Collision with pedestrians,1,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the left,Serious Injury,20,58
Friday,Unknown,Male,Writing & reading,5-10yr,Other,Owner,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Collision with pedestrians,2,2,Going straight,Pedestrian,Male,18-30,3,Unknown or other,Overtaking,Slight Injury,18,40
Friday,18-30,Male,Junior high school,Above 10yr,Automobile,Owner,Above 10yr,Office areas,Two-way (divided with broken lines road marking),Sharp reverse curve,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Pedestrian,Male,18-30,3,Crossing from driver's nearside,No distancing,Slight Injury,18,40
Friday,18-30,Male,Junior high school,1-2yr,Automobile,Owner,Above 10yr, Church areas,Undivided Two way,Sharp reverse curve,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Reversing,Passenger,Female,18-30,3,Not a Pedestrian,No priority to vehicle,Slight Injury,18,40
Friday,Unknown,Male,Writing & reading,Below 1yr,Stationwagen,Owner,Above 10yr,Office areas,Undivided Two way,Gentle horizontal curve,Crossing,Dry,Daylight,Other,Collision with pedestrians,2,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Changing lane to the right,Slight Injury,17,17
Friday,Over 51,Male,Elementary school,1-2yr,Pick up upto 10Q,Owner,5-10yrs,Other,Double carriageway (median),Gentle horizontal curve,Crossing,Dry,Daylight,Other,Collision with pedestrians,2,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the left,Slight Injury,17,17
Saturday,18-30,Male,Junior high school,5-10yr,Lorry (41?100Q),Owner,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,Collision with pedestrians,1,1,Going straight,Passenger,Male,Over 51,2,Not a Pedestrian,No distancing,Slight Injury,3,30
Friday,18-30,Male,Junior high school,1-2yr,Automobile,Owner,5-10yrs, Church areas,Unknown,Tangent road with mountainous terrain and,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Driving carelessly,Slight Injury,18,48
Friday,Unknown,Male,Elementary school,5-10yr,Automobile,Owner,1-2yr,School areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Collision with roadside objects,2,1,Getting off,na,na,na,na,Not a Pedestrian,No priority to pedestrian,Slight Injury,18,48
Saturday,18-30,Male,Junior high school,2-5yr,Lorry (41?100Q),Owner,Unknown, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,31-50,3,Not a Pedestrian,Driving carelessly,Slight Injury,18,33
Saturday,31-50,Male,Junior high school,Below 1yr,Lorry (41?100Q),Owner,Above 10yr,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Moving Backward,Slight Injury,18,33
Sunday,31-50,Male,Writing & reading,5-10yr,Lorry (41?100Q),Owner,2-5yrs,Other,other,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,9,51
Sunday,Over 51,Male,Writing & reading,5-10yr,Pick up upto 10Q,Owner,Above 10yr, Church areas,Two-way (divided with broken lines road marking),Steep grade upward with mountainous terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,9,51
Wednesday,Under 18,Male,Junior high school,5-10yr,Pick up upto 10Q,Governmental,1-2yr,Other,Double carriageway (median),Tangent road with flat terrain,Other,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,Driver or rider,Male,18-30,3,Not a Pedestrian,No distancing,Slight Injury,10,49
Wednesday,18-30,Male,Junior high school,2-5yr,Automobile,Governmental,Above 10yr,Other,Double carriageway (median),Tangent road with flat terrain,Other,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,na,na,na,na,Not a Pedestrian,Changing lane to the left,Slight Injury,10,49
Saturday,31-50,Male,Junior high school,Above 10yr,Other,Organization,5-10yrs,Office areas,Two-way (divided with broken lines road marking),Gentle horizontal curve,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Changing lane to the left,Slight Injury,12,30
Thursday,31-50,Male,Junior high school,5-10yr,Automobile,Organization,Above 10yr,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,na,na,na,na,Not a Pedestrian,Moving Backward,Slight Injury,8,59
Thursday,31-50,Male,Junior high school,Above 10yr,Automobile,Owner,2-5yrs,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Rollover,2,1,Going straight,Driver or rider,Male,Under 18,3,Not a Pedestrian,Changing lane to the right,Slight Injury,8,59
Monday,Unknown,Male,Junior high school,2-5yr,Motorcycle,Governmental,Unknown,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,10,40
Thursday,18-30,Male,Junior high school,Below 1yr,Automobile,Owner,2-5yrs,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Unknown,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Not a Pedestrian,Moving Backward,Slight Injury,15,45
Thursday,18-30,Male,Junior high school,Below 1yr,Automobile,Owner,2-5yrs, Church areas,One way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,31-50,3,Not a Pedestrian,Driving carelessly,Slight Injury,16,0
Thursday,18-30,Male,Junior high school,5-10yr,Public (12 seats),Owner,1-2yr,Other,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Collision with roadside objects,2,1,Turnover,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,16,0
Friday,31-50,Male,Junior high school,2-5yr,Long lorry,Owner,Above 10yr,  Market areas,other,Steep grade downward with mountainous terrain,No junction,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,2,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Driving under the influence of drugs,Slight Injury,22,40
Friday,31-50,Male,Elementary school,Below 1yr,Automobile,Owner,Above 10yr,Other,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,No junction,Dry,Darkness - lights lit,Normal,Rollover,1,2,Other,Driver or rider,Male,31-50,3,Not a Pedestrian,No priority to pedestrian,Slight Injury,22,40
Monday,Over 51,Male,Junior high school,2-5yr,Automobile,Owner,Unknown,Other,Undivided Two way,Tangent road with mountainous terrain and,No junction,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,na,na,na,na,Not a Pedestrian,No priority to vehicle,Serious Injury,11,20
Monday,Over 51,Male,Junior high school,5-10yr,Public (> 45 seats),Owner,Unknown, Church areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,18-30,3,Not a Pedestrian,Driving carelessly,Serious Injury,11,20
Sunday,31-50,Male,High school,Above 10yr,Pick up upto 10Q,Governmental,1-2yr,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,31-50,2,Not a Pedestrian,Moving Backward,Slight Injury,20,16
Sunday,31-50,Male,High school,Above 10yr,Lorry (41?100Q),Owner,Unknown,Other,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Passenger,Female,Under 18,3,Not a Pedestrian,Driving carelessly,Slight Injury,20,16
Sunday,31-50,Male,Junior high school,5-10yr,Automobile,Owner,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,2,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,No priority to vehicle,Slight Injury,20,16
Friday,Unknown,Male,Elementary school,1-2yr,Public (13?45 seats),Owner,Unknown,Other,Double carriageway (median),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Passenger,Male,31-50,3,Not a Pedestrian,Changing lane to the right,Slight Injury,6,20
